"""2 A.M.""";Steve Harris;The X Factor;1995
;Blaze Bayley;;
;Janick Gers;;
"""2 Minutes to Midnight""";Bruce Dickinson;Powerslave;1984
;Adrian Smith;;
"""22 Acacia Avenue""";Steve Harris;The Number of the Beast;1982
;Adrian Smith;;
"""Aces High""";Steve Harris;Powerslave;1984
"""Afraid to Shoot Strangers""";Steve Harris;Fear of the Dark;1992
"""Age of Innocence""";Steve Harris;Dance of Death;2003
;Dave Murray;;
"""Alexander the Great""";Steve Harris;Somewhere in Time;1986
"""All in Your Mind""[nb 1]";Del Bromham;"""Holy Smoke""";1990
"""Another Life""";Steve Harris;Killers;1981
"""Back in the Village""";Bruce Dickinson;Powerslave;1984
;Adrian Smith;;
"""Bayswater Ain't a Bad Place to Be""";Bruce Dickinson;"""Be Quick or Be Dead""";1992
;Janick Gers;;
"""Be Quick or Be Dead""";Bruce Dickinson;Fear of the Dark;1992
;Janick Gers;;
"""Black Bart Blues""";Steve Harris;"""Can I Play with Madness""";1988
;Bruce Dickinson;;
"""Blood Brothers""";Steve Harris;Brave New World;2000
"""Blood on the World's Hands""";Steve Harris;The X Factor;1995
"""Brave New World""";Steve Harris;Brave New World;2000
;Bruce Dickinson;;
;Dave Murray;;
"""Brighter Than a Thousand Suns""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
;Adrian Smith;;
"""Bring Your Daughter... to the Slaughter""";Bruce Dickinson;No Prayer for the Dying;1990
"""Burning Ambition""";Steve Harris;"""Running Free""";1980
"""Can I Play with Madness""";Steve Harris;Seventh Son of a Seventh Son;1988
;Bruce Dickinson;;
;Adrian Smith;;
"""Caught Somewhere in Time""";Steve Harris;Somewhere in Time;1986
"""Chains of Misery""";Bruce Dickinson;Fear of the Dark;1992
;Dave Murray;;
"""Charlotte the Harlot""";Dave Murray;Iron Maiden;1980
"""Childhood's End""";Steve Harris;Fear of the Dark;1992
"""Children of the Damned""";Steve Harris;The Number of the Beast;1982
"""Coming Home""";Steve Harris;The Final Frontier;2010
;Bruce Dickinson;;
;Adrian Smith;;
"""Communication Breakdown""[nb 2]";Jimmy Page;"""Bring Your Daughter... to the Slaughter""";1990
;John Paul Jones;;
;John Bonham;;
"""Como Estais Amigos""";Blaze Bayley;Virtual XI;1998
;Janick Gers;;
"""Cross-Eyed Mary""[nb 3]";Ian Anderson;"""The Trooper""";1983
"""Dance of Death""";Steve Harris;Dance of Death;2003
;Janick Gers;;
"""Death or Glory""";Adrian Smith;The Book of Souls;2015
;Bruce Dickinson;;
"""Deja-Vu""";Steve Harris;Somewhere in Time;1986
;Dave Murray;;
"""Die with Your Boots On""";Steve Harris;Piece of Mind;1983
;Bruce Dickinson;;
;Adrian Smith;;
"""Different World""";Steve Harris;A Matter of Life and Death;2006
;Adrian Smith;;
"""Doctor Doctor""[nb 4]";Michael Schenker;"""Lord of the Flies""";1996
;Phil Mogg;;
"""Don't Look to the Eyes of a Stranger""";Steve Harris;Virtual XI;1998
"""Dream of Mirrors""";Steve Harris;Brave New World;2000
;Janick Gers;;
"""Drifter""";Steve Harris;Killers;1981
"""El Dorado""";Steve Harris;The Final Frontier;2010
;Bruce Dickinson;;
;Adrian Smith;;
"""Empire of the Clouds""";Bruce Dickinson;The Book of Souls;2015
"""Face in the Sand""";Steve Harris;Dance of Death;2003
;Bruce Dickinson;;
;Adrian Smith;;
"""Fates Warning""";Steve Harris;No Prayer for the Dying;1990
;Dave Murray;;
"""Fear Is the Key""";Bruce Dickinson;Fear of the Dark;1992
;Janick Gers;;
"""Fear of the Dark""";Steve Harris;Fear of the Dark;1992
"""Flash of the Blade""";Bruce Dickinson;Powerslave;1984
"""Flight of Icarus""";Bruce Dickinson;Piece of Mind;1983
;Adrian Smith;;
"""For the Greater Good of God""";Steve Harris;A Matter of Life and Death;2006
"""Fortunes of War""";Steve Harris;The X Factor;1995
"""From Here to Eternity""";Steve Harris;Fear of the Dark;1992
"""Futureal""";Steve Harris;Virtual XI;1998
;Blaze Bayley;;
"""Gangland""";Adrian Smith;The Number of the Beast;1982
;Clive Burr;;
"""Gates of Tomorrow""";Steve Harris;Dance of Death;2003
;Bruce Dickinson;;
;Janick Gers;;
"""Genghis Khan""";Steve Harris;Killers;1981
"""Ghost of the Navigator""";Steve Harris;Brave New World;2000
;Bruce Dickinson;;
;Janick Gers;;
"""Hallowed Be Thy Name""";Steve Harris;The Number of the Beast;1982
"""Heaven Can Wait""";Steve Harris;Somewhere in Time;1986
"""Hocus Pocus""[nb 5]";Thijs van Leer;"""Different World""";2006
;Jan Akkerman;;
"""Holy Smoke""";Steve Harris;No Prayer for the Dying;1990
;Bruce Dickinson;;
"""Hooks in You""";Bruce Dickinson;No Prayer for the Dying;1990
;Adrian Smith;;
"""I Can't See My Feelings""[nb 6]";Burke Shelley;"""From Here to Eternity""";1992
;Tony Bourge;;
"""I Live My Way""";Steve Harris;"""Man on the Edge""";1995
;Blaze Bayley;;
;Janick Gers;;
"""I'm a Mover""[nb 7]";Paul Rodgers;"""Bring Your Daughter... to the Slaughter""";1990
;Andy Fraser;;
"""I've Got the Fire""[nb 8]";Ronnie Montrose;"""Flight of Icarus""";1983
"""If Eternity Should Fail""";Bruce Dickinson;The Book of Souls;2015
"""Infinite Dreams""";Steve Harris;Seventh Son of a Seventh Son;1988
"""Innocent Exile""";Steve Harris;Killers;1981
"""Invaders""";Steve Harris;The Number of the Beast;1982
"""Invasion""";Steve Harris;"""Women in Uniform""";1980
"""Iron Maiden""";Steve Harris;Iron Maiden;1980
"""Isle of Avalon""";Steve Harris;The Final Frontier;2010
;Adrian Smith;;
"""Journeyman""";Steve Harris;Dance of Death;2003
;Bruce Dickinson;;
;Adrian Smith;;
"""Juanita""[nb 9]";Steve Barnacle;"""Stranger in a Strange Land""";1986
;Derek O'Neil;;
"""Judas Be My Guide""";Bruce Dickinson;Fear of the Dark;1992
;Dave Murray;;
"""Judgement Day""";Blaze Bayley;"""Man on the Edge""";1995
;Janick Gers;;
"""Judgement of Heaven""";Steve Harris;The X Factor;1995
"""Justice of the Peace""";Steve Harris;"""Man on the Edge""";1995
;Dave Murray;;
"""Kill Me Ce Soir""[nb 10]";George Kooymans;"""Holy Smoke""";1990
;Barry Hay;;
;John Fenton;;
"""Killers""";Steve Harris;Killers;1981
;Paul Di'Anno;;
"""King of Twilight""[nb 11]";Roye Albrighton;"""Aces High""";1984
;Derek Moore;;
;Ron Howden;;
;Allan Freeman;;
;Mick Brockett;;
"""Lightning Strikes Twice""";Steve Harris;Virtual XI;1998
;Dave Murray;;
"""Look for the Truth""";Steve Harris;The X Factor;1995
;Blaze Bayley;;
;Janick Gers;;
"""Lord of Light""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
;Adrian Smith;;
"""Lord of the Flies""";Steve Harris;The X Factor;1995
;Janick Gers;;
"""Losfer Words (Big 'Orra)""";Steve Harris;Powerslave;1984
"""Man on the Edge""";Blaze Bayley;The X Factor;1995
;Janick Gers;;
"""Massacre""[nb 12]";Phil Lynott;"""Can I Play with Madness""";1988
;Scott Gorham;;
;Brian Downey;;
"""Monts‚gur""";Steve Harris;Dance of Death;2003
;Bruce Dickinson;;
;Janick Gers;;
"""Moonchild""";Bruce Dickinson;Seventh Son of a Seventh Son;1988
;Adrian Smith;;
"""More Tea Vicar""";Steve Harris;"""Rainmaker""";2003
;Bruce Dickinson;;
;Adrian Smith;;
;Janick Gers;;
;Dave Murray;;
;Nicko McBrain;;
"""Mother of Mercy""";Steve Harris;The Final Frontier;2010
;Adrian Smith;;
"""Mother Russia""";Steve Harris;No Prayer for the Dying;1990
"""Murders in the Rue Morgue""";Steve Harris;Killers;1981
"""My Generation""[nb 13]";Pete Townshend;"""Lord of the Flies""";1996
"""New Frontier""";Bruce Dickinson;Dance of Death;2003
;Adrian Smith;;
;Nicko McBrain;;
"""No More Lies""";Steve Harris;Dance of Death;2003
"""No Prayer for the Dying""";Steve Harris;No Prayer for the Dying;1990
"""Nodding Donkey Blues""";Steve Harris;"""Be Quick or Be Dead""";1992
;Bruce Dickinson;;
;Janick Gers;;
;Dave Murray;;
;Nicko McBrain;;
"""Only the Good Die Young""";Steve Harris;Seventh Son of a Seventh Son;1988
;Bruce Dickinson;;
"""Out of the Shadows""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
"""Out of the Silent Planet""";Steve Harris;Brave New World;2000
;Bruce Dickinson;;
;Janick Gers;;
"""Paschendale""";Steve Harris;Dance of Death;2003
;Adrian Smith;;
"""Pass the Jam""";Steve Harris;"""Wildest Dreams""";2003
;Bruce Dickinson;;
;Adrian Smith;;
;Janick Gers;;
;Dave Murray;;
;Nicko McBrain;;
"""Phantom of the Opera""";Steve Harris;Iron Maiden;1980
"""Powerslave""";Bruce Dickinson;Powerslave;1984
"""Prodigal Son""";Steve Harris;Killers;1981
"""Prowler""";Steve Harris;Iron Maiden;1980
"""Public Enema Number One""";Bruce Dickinson;No Prayer for the Dying;1990
;Dave Murray;;
"""Purgatory""";Steve Harris;Killers;1981
"""Quest for Fire""";Steve Harris;Piece of Mind;1983
"""Rainbow's Gold""[nb 14]";Terry Slesser;"""2 Minutes to Midnight""";1984
;Kenny Mountain;;
"""Rainmaker""";Steve Harris;Dance of Death;2003
;Bruce Dickinson;;
;Dave Murray;;
"""Reach Out""[nb 15]";Dave Colwell;"""Wasted Years""";1986
"""Remember Tomorrow""";Steve Harris;Iron Maiden;1980
;Paul Di'Anno;;
"""Revelations""";Bruce Dickinson;Piece of Mind;1983
"""Rime of the Ancient Mariner""";Steve Harris;Powerslave;1984
"""Roll Over Vic Vella""[nb 16]";Chuck Berry;"""From Here to Eternity""";1992
"""Run Silent Run Deep""";Steve Harris;No Prayer for the Dying;1990
;Bruce Dickinson;;
"""Run to the Hills""";Steve Harris;The Number of the Beast;1982
"""Running Free""";Steve Harris;Iron Maiden;1980
;Paul Di'Anno;;
"""Sanctuary""";Iron Maiden[nb 17];Iron Maiden;1980
"""Satellite 15... The Final Frontier""";Steve Harris;The Final Frontier;2010
;Adrian Smith;;
"""Sea of Madness""";Adrian Smith;Somewhere in Time;1986
"""Seventh Son of a Seventh Son""";Steve Harris;Seventh Son of a Seventh Son;1988
"""Shadows of the Valley""";Janick Gers;The Book of Souls;2015
;Steve Harris;;
"""Sheriff of Huddersfield""";Steve Harris;"""Wasted Years""";1986
;Bruce Dickinson;;
;Adrian Smith;;
;Dave Murray;;
;Nicko McBrain;;
"""Sign of the Cross""";Steve Harris;The X Factor;1995
"""Space Station #5""[nb 18]";Ronnie Montrose;"""Be Quick or Be Dead""";1992
;Sammy Hagar;;
"""Space Truckin'[nb 19]";Ritchie Blackmore;Re-Machined: A Tribute to Deep Purple's Machine Head;2012
;Ian Gillan;;
;Roger Glover;;
;Jon Lord;;
;Ian Paice;;
"""Speed of Light""";Adrian Smith;The Book of Souls;2015
;Bruce Dickinson;;
"""Starblind""";Steve Harris;The Final Frontier;2010
;Bruce Dickinson;;
;Adrian Smith;;
"""Still Life""";Steve Harris;Piece of Mind;1983
;Dave Murray;;
"""Strange World""";Steve Harris;Iron Maiden;1980
"""Stranger in a Strange Land""";Adrian Smith;Somewhere in Time;1986
"""Sun and Steel""";Bruce Dickinson;Piece of Mind;1983
;Adrian Smith;;
"""Tailgunner""";Steve Harris;No Prayer for the Dying;1990
;Bruce Dickinson;;
"""Tears of a Clown""";Adrian Smith;The Book of Souls;2015
;Steve Harris;;
"""That Girl""[nb 20]";Merv Goldsworthy;"""Stranger in a Strange Land""";1986
;Pete Jupp;;
;Andy Barnett;;
"""The Aftermath""";Steve Harris;The X Factor;1995
;Blaze Bayley;;
;Janick Gers;;
"""The Alchemist""";Steve Harris;The Final Frontier;2010
;Bruce Dickinson;;
;Janick Gers;;
"""The Angel and the Gambler""";Steve Harris;Virtual XI;1998
"""The Apparition""";Steve Harris;Fear of the Dark;1992
;Janick Gers;;
"""The Assassin""";Steve Harris;No Prayer for the Dying;1990
"""The Book of Souls""";Janick Gers;The Book of Souls;2015
;Steve Harris;;
"""The Clairvoyant""";Steve Harris;Seventh Son of a Seventh Son;1988
"""The Clansman""";Steve Harris;Virtual XI;1998
"""The Duellists""";Steve Harris;Powerslave;1984
"""The Edge of Darkness""";Steve Harris;The X Factor;1995
;Blaze Bayley;;
;Janick Gers;;
"""The Educated Fool""";Steve Harris;Virtual XI;1998
"""The Evil That Men Do""";Steve Harris;Seventh Son of a Seventh Son;1988
;Bruce Dickinson;;
;Adrian Smith;;
"""The Fallen Angel""";Steve Harris;Brave New World;2000
;Adrian Smith;;
"""The Fugitive""";Steve Harris;Fear of the Dark;1992
"""The Great Unknown""";Adrian Smith;The Book of Souls;2015
;Steve Harris;;
"""The Ides of March""";Steve Harris;Killers;1981
"""The Legacy""";Steve Harris;A Matter of Life and Death;2006
;Janick Gers;;
"""The Loneliness of the Long Distance Runner""";Steve Harris;Somewhere in Time;1986
"""The Longest Day""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
;Adrian Smith;;
"""The Man of Sorrows""";Dave Murray;The Book of Souls;2015
;Steve Harris;;
"""The Man Who Would Be King""";Steve Harris;The Final Frontier;2010
;Dave Murray;;
"""The Mercenary""";Steve Harris;Brave New World;2000
;Janick Gers;;
"""The Nomad""";Steve Harris;Brave New World;2000
;Dave Murray;;
"""The Number of the Beast""";Steve Harris;The Number of the Beast;1982
"""The Pilgrim""";Steve Harris;A Matter of Life and Death;2006
;Janick Gers;;
"""The Prisoner""";Steve Harris;The Number of the Beast;1982
;Adrian Smith;;
"""The Prophecy""";Steve Harris;Seventh Son of a Seventh Son;1988
;Dave Murray;;
"""The Red and the Black""";Steve Harris;The Book of Souls;2015
"""The Reincarnation of Benjamin Breeg""";Steve Harris;A Matter of Life and Death;2006
;Dave Murray;;
"""The Talisman""";Steve Harris;The Final Frontier;2010
;Janick Gers;;
"""The Thin Line Between Love and Hate""";Steve Harris;Brave New World;2000
;Dave Murray;;
"""The Trooper""";Steve Harris;Piece of Mind;1983
"""The Unbeliever""";Steve Harris;The X Factor;1995
;Janick Gers;;
"""The Wicker Man""";Steve Harris;Brave New World;2000
;Bruce Dickinson;;
;Adrian Smith;;
"""These Colours Don't Run""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
;Adrian Smith;;
"""To Tame a Land""";Steve Harris;Piece of Mind;1983
"""Total Eclipse""";Steve Harris;"""Run to the Hills""";1982
;Dave Murray;;
;Clive Burr;;
"""Transylvania""";Steve Harris;Iron Maiden;1980
"""Twilight Zone""";Steve Harris;Killers;1981
;Dave Murray;;
"""Virus""";Steve Harris;Best of the Beast;1996
;Blaze Bayley;;
;Dave Murray;;
;Janick Gers;;
"""Wasted Years""";Adrian Smith;Somewhere in Time;1986
"""Wasting Love""";Bruce Dickinson;Fear of the Dark;1992
;Janick Gers;;
"""Weekend Warrior""";Steve Harris;Fear of the Dark;1992
;Janick Gers;;
"""When the River Runs Deep""";Adrian Smith;The Book of Souls;2015
;Steve Harris;;
"""When the Wild Wind Blows""";Steve Harris;The Final Frontier;2010
"""When Two Worlds Collide""";Steve Harris;Virtual XI;1998
;Blaze Bayley;;
;Dave Murray;;
"""Where Eagles Dare""";Steve Harris;Piece of Mind;1983
"""Wildest Dreams""";Steve Harris;Dance of Death;2003
;Adrian Smith;;
"""Women in Uniform"" [nb 21]";Greg Macainsh;"""Women in Uniform""";1980
"""Wrathchild""";Steve Harris;Killers;1981