"song","album","year","composer1","composer2","composer3","composer4"
"2 A.M.","The X Factor",1995,"Steve Harris","Blaze Bayley","Janick Gers","NA"
"2 Minutes to Midnight","Powerslave",1984,"Bruce Dickinson","Adrian Smith","NA","NA"
"22 Acacia Avenue","The Number of the Beast",1982,"Steve Harris","Adrian Smith","NA","NA"
"Aces High","Powerslave",1984,"Steve Harris","NA","NA","NA"
"Afraid to Shoot Strangers","Fear of the Dark",1992,"Steve Harris","NA","NA","NA"
"Age of Innocence","Dance of Death",2003,"Steve Harris","Dave Murray","NA","NA"
"Alexander the Great","Somewhere in Time",1986,"Steve Harris","NA","NA","NA"
"All in Your Mind","""Holy Smoke""",1990,"Del Bromham","NA","NA","NA"
"Another Life","Killers",1981,"Steve Harris","NA","NA","NA"
"Back in the Village","Powerslave",1984,"Bruce Dickinson","Adrian Smith","NA","NA"
"Bayswater Ain't a Bad Place to Be","""Be Quick or Be Dead""",1992,"Bruce Dickinson","Janick Gers","NA","NA"
"Be Quick or Be Dead","Fear of the Dark",1992,"Bruce Dickinson","Janick Gers","NA","NA"
"Black Bart Blues","""Can I Play with Madness""",1988,"Steve Harris","Bruce Dickinson","NA","NA"
"Blood Brothers","Brave New World",2000,"Steve Harris","NA","NA","NA"
"Blood on the World's Hands","The X Factor",1995,"Steve Harris","NA","NA","NA"
"Brave New World","Brave New World",2000,"Steve Harris","Bruce Dickinson","Dave Murray","NA"
"Brighter Than a Thousand Suns","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Bring Your Daughter... to the Slaughter","No Prayer for the Dying",1990,"Bruce Dickinson","NA","NA","NA"
"Burning Ambition","""Running Free""",1980,"Steve Harris","NA","NA","NA"
"Can I Play with Madness","Seventh Son of a Seventh Son",1988,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Caught Somewhere in Time","Somewhere in Time",1986,"Steve Harris","NA","NA","NA"
"Chains of Misery","Fear of the Dark",1992,"Bruce Dickinson","Dave Murray","NA","NA"
"Charlotte the Harlot","Iron Maiden",1980,"Dave Murray","NA","NA","NA"
"Childhood's End","Fear of the Dark",1992,"Steve Harris","NA","NA","NA"
"Children of the Damned","The Number of the Beast",1982,"Steve Harris","NA","NA","NA"
"Coming Home","The Final Frontier",2010,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Communication Breakdown","""Bring Your Daughter... to the Slaughter""",1990,"Jimmy Page","John Paul Jones","John Bonham","NA"
"Como Estais Amigos","Virtual XI",1998,"Blaze Bayley","Janick Gers","NA","NA"
"Cross-Eyed Mary","""The Trooper""",1983,"Ian Anderson","NA","NA","NA"
"Dance of Death","Dance of Death",2003,"Steve Harris","Janick Gers","NA","NA"
"Death or Glory","The Book of Souls",2015,"Adrian Smith","Bruce Dickinson","NA","NA"
"Deja-Vu","Somewhere in Time",1986,"Steve Harris","Dave Murray","NA","NA"
"Die with Your Boots On","Piece of Mind",1983,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Different World","A Matter of Life and Death",2006,"Steve Harris","Adrian Smith","NA","NA"
"Doctor Doctor","""Lord of the Flies""",1996,"Michael Schenker","Phil Mogg","NA","NA"
"Don't Look to the Eyes of a Stranger","Virtual XI",1998,"Steve Harris","NA","NA","NA"
"Dream of Mirrors","Brave New World",2000,"Steve Harris","Janick Gers","NA","NA"
"Drifter","Killers",1981,"Steve Harris","NA","NA","NA"
"El Dorado","The Final Frontier",2010,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Empire of the Clouds","The Book of Souls",2015,"Bruce Dickinson","NA","NA","NA"
"Face in the Sand","Dance of Death",2003,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Fates Warning","No Prayer for the Dying",1990,"Steve Harris","Dave Murray","NA","NA"
"Fear Is the Key","Fear of the Dark",1992,"Bruce Dickinson","Janick Gers","NA","NA"
"Fear of the Dark","Fear of the Dark",1992,"Steve Harris","NA","NA","NA"
"Flash of the Blade","Powerslave",1984,"Bruce Dickinson","NA","NA","NA"
"Flight of Icarus","Piece of Mind",1983,"Bruce Dickinson","Adrian Smith","NA","NA"
"For the Greater Good of God","A Matter of Life and Death",2006,"Steve Harris","NA","NA","NA"
"Fortunes of War","The X Factor",1995,"Steve Harris","NA","NA","NA"
"From Here to Eternity","Fear of the Dark",1992,"Steve Harris","NA","NA","NA"
"Futureal","Virtual XI",1998,"Steve Harris","Blaze Bayley","NA","NA"
"Gangland","The Number of the Beast",1982,"Adrian Smith","Clive Burr","NA","NA"
"Gates of Tomorrow","Dance of Death",2003,"Steve Harris","Bruce Dickinson","Janick Gers","NA"
"Genghis Khan","Killers",1981,"Steve Harris","NA","NA","NA"
"Ghost of the Navigator","Brave New World",2000,"Steve Harris","Bruce Dickinson","Janick Gers","NA"
"Hallowed Be Thy Name","The Number of the Beast",1982,"Steve Harris","NA","NA","NA"
"Heaven Can Wait","Somewhere in Time",1986,"Steve Harris","NA","NA","NA"
"Hocus Pocus","""Different World""",2006,"Thijs van Leer","Jan Akkerman","NA","NA"
"Holy Smoke","No Prayer for the Dying",1990,"Steve Harris","Bruce Dickinson","NA","NA"
"Hooks in You","No Prayer for the Dying",1990,"Bruce Dickinson","Adrian Smith","NA","NA"
"I Can't See My Feelings","""From Here to Eternity""",1992,"Burke Shelley","Tony Bourge","NA","NA"
"I Live My Way","""Man on the Edge""",1995,"Steve Harris","Blaze Bayley","Janick Gers","NA"
"I'm a Mover","""Bring Your Daughter... to the Slaughter""",1990,"Paul Rodgers","Andy Fraser","NA","NA"
"I've Got the Fire","""Flight of Icarus""",1983,"Ronnie Montrose","NA","NA","NA"
"If Eternity Should Fail","The Book of Souls",2015,"Bruce Dickinson","NA","NA","NA"
"Infinite Dreams","Seventh Son of a Seventh Son",1988,"Steve Harris","NA","NA","NA"
"Innocent Exile","Killers",1981,"Steve Harris","NA","NA","NA"
"Invaders","The Number of the Beast",1982,"Steve Harris","NA","NA","NA"
"Invasion","""Women in Uniform""",1980,"Steve Harris","NA","NA","NA"
"Iron Maiden","Iron Maiden",1980,"Steve Harris","NA","NA","NA"
"Isle of Avalon","The Final Frontier",2010,"Steve Harris","Adrian Smith","NA","NA"
"Journeyman","Dance of Death",2003,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Juanita","""Stranger in a Strange Land""",1986,"Steve Barnacle","Derek O'Neil","NA","NA"
"Judas Be My Guide","Fear of the Dark",1992,"Bruce Dickinson","Dave Murray","NA","NA"
"Judgement Day","""Man on the Edge""",1995,"Blaze Bayley","Janick Gers","NA","NA"
"Judgement of Heaven","The X Factor",1995,"Steve Harris","NA","NA","NA"
"Justice of the Peace","""Man on the Edge""",1995,"Steve Harris","Dave Murray","NA","NA"
"Kill Me Ce Soir","""Holy Smoke""",1990,"George Kooymans","Barry Hay","John Fenton","NA"
"Killers","Killers",1981,"Steve Harris","Paul Di'Anno","NA","NA"
"King of Twilight","""Aces High""",1984,"NA","NA","NA","NA"
"Lightning Strikes Twice","Virtual XI",1998,"Steve Harris","Dave Murray","NA","NA"
"Look for the Truth","The X Factor",1995,"Steve Harris","Blaze Bayley","Janick Gers","NA"
"Lord of Light","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Lord of the Flies","The X Factor",1995,"Steve Harris","Janick Gers","NA","NA"
"Losfer Words (Big 'Orra)","Powerslave",1984,"Steve Harris","NA","NA","NA"
"Man on the Edge","The X Factor",1995,"Blaze Bayley","Janick Gers","NA","NA"
"Massacre","""Can I Play with Madness""",1988,"Phil Lynott","Scott Gorham","Brian Downey","NA"
"ontsegu","Dance of Death",2003,"Steve Harris","Bruce Dickinson","Janick Gers","NA"
"Moonchild","Seventh Son of a Seventh Son",1988,"Bruce Dickinson","Adrian Smith","NA","NA"
"More Tea Vicar","""Rainmaker""",2003,"NA","NA","NA","NA"
"Mother of Mercy","The Final Frontier",2010,"Steve Harris","Adrian Smith","NA","NA"
"Mother Russia","No Prayer for the Dying",1990,"Steve Harris","NA","NA","NA"
"Murders in the Rue Morgue","Killers",1981,"Steve Harris","NA","NA","NA"
"My Generation","""Lord of the Flies""",1996,"Pete Townshend","NA","NA","NA"
"New Frontier","Dance of Death",2003,"Bruce Dickinson","Adrian Smith","Nicko McBrain","NA"
"No More Lies","Dance of Death",2003,"Steve Harris","NA","NA","NA"
"No Prayer for the Dying","No Prayer for the Dying",1990,"Steve Harris","NA","NA","NA"
"Nodding Donkey Blues","""Be Quick or Be Dead""",1992,"NA","NA","NA","NA"
"Only the Good Die Young","Seventh Son of a Seventh Son",1988,"Steve Harris","Bruce Dickinson","NA","NA"
"Out of the Shadows","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","NA","NA"
"Out of the Silent Planet","Brave New World",2000,"Steve Harris","Bruce Dickinson","Janick Gers","NA"
"Paschendale","Dance of Death",2003,"Steve Harris","Adrian Smith","NA","NA"
"Pass the Jam","""Wildest Dreams""",2003,"NA","NA","NA","NA"
"Phantom of the Opera","Iron Maiden",1980,"Steve Harris","NA","NA","NA"
"Powerslave","Powerslave",1984,"Bruce Dickinson","NA","NA","NA"
"Prodigal Son","Killers",1981,"Steve Harris","NA","NA","NA"
"Prowler","Iron Maiden",1980,"Steve Harris","NA","NA","NA"
"Public Enema Number One","No Prayer for the Dying",1990,"Bruce Dickinson","Dave Murray","NA","NA"
"Purgatory","Killers",1981,"Steve Harris","NA","NA","NA"
"Quest for Fire","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"Rainbow's Gold","""2 Minutes to Midnight""",1984,"Terry Slesser","Kenny Mountain","NA","NA"
"Rainmaker","Dance of Death",2003,"Steve Harris","Bruce Dickinson","Dave Murray","NA"
"Reach Out","""Wasted Years""",1986,"Dave Colwell","NA","NA","NA"
"Remember Tomorrow","Iron Maiden",1980,"Steve Harris","Paul Di'Anno","NA","NA"
"Revelations","Piece of Mind",1983,"Bruce Dickinson","NA","NA","NA"
"Rime of the Ancient Mariner","Powerslave",1984,"Steve Harris","NA","NA","NA"
"Roll Over Vic Vella","""From Here to Eternity""",1992,"Chuck Berry","NA","NA","NA"
"Run Silent Run Deep","No Prayer for the Dying",1990,"Steve Harris","Bruce Dickinson","NA","NA"
"Run to the Hills","The Number of the Beast",1982,"Steve Harris","NA","NA","NA"
"Running Free","Iron Maiden",1980,"Steve Harris","Paul Di'Anno","NA","NA"
"Sanctuary","Iron Maiden",1980,"Iron Maiden[nb 17]","NA","NA","NA"
"Satellite 15... The Final Frontier","The Final Frontier",2010,"Steve Harris","Adrian Smith","NA","NA"
"Sea of Madness","Somewhere in Time",1986,"Adrian Smith","NA","NA","NA"
"Seventh Son of a Seventh Son","Seventh Son of a Seventh Son",1988,"Steve Harris","NA","NA","NA"
"Shadows of the Valley","The Book of Souls",2015,"Janick Gers","Steve Harris","NA","NA"
"Sheriff of Huddersfield","""Wasted Years""",1986,"NA","NA","NA","NA"
"Sign of the Cross","The X Factor",1995,"Steve Harris","NA","NA","NA"
"Space Station #5","""Be Quick or Be Dead""",1992,"Ronnie Montrose","Sammy Hagar","NA","NA"
"Space Truckin","Re-Machined: A Tribute to Deep Purple's Machine Head",2012,"NA","NA","NA","NA"
"Speed of Light","The Book of Souls",2015,"Adrian Smith","Bruce Dickinson","NA","NA"
"Starblind","The Final Frontier",2010,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"Still Life","Piece of Mind",1983,"Steve Harris","Dave Murray","NA","NA"
"Strange World","Iron Maiden",1980,"Steve Harris","NA","NA","NA"
"Stranger in a Strange Land","Somewhere in Time",1986,"Adrian Smith","NA","NA","NA"
"Sun and Steel","Piece of Mind",1983,"Bruce Dickinson","Adrian Smith","NA","NA"
"Tailgunner","No Prayer for the Dying",1990,"Steve Harris","Bruce Dickinson","NA","NA"
"Tears of a Clown","The Book of Souls",2015,"Adrian Smith","Steve Harris","NA","NA"
"That Girl","""Stranger in a Strange Land""",1986,"Merv Goldsworthy","Pete Jupp","Andy Barnett","NA"
"The Aftermath","The X Factor",1995,"Steve Harris","Blaze Bayley","Janick Gers","NA"
"The Alchemist","The Final Frontier",2010,"Steve Harris","Bruce Dickinson","Janick Gers","NA"
"The Angel and the Gambler","Virtual XI",1998,"Steve Harris","NA","NA","NA"
"The Apparition","Fear of the Dark",1992,"Steve Harris","Janick Gers","NA","NA"
"The Assassin","No Prayer for the Dying",1990,"Steve Harris","NA","NA","NA"
"The Book of Souls","The Book of Souls",2015,"Janick Gers","Steve Harris","NA","NA"
"The Clairvoyant","Seventh Son of a Seventh Son",1988,"Steve Harris","NA","NA","NA"
"The Clansman","Virtual XI",1998,"Steve Harris","NA","NA","NA"
"The Duellists","Powerslave",1984,"Steve Harris","NA","NA","NA"
"The Edge of Darkness","The X Factor",1995,"Steve Harris","Blaze Bayley","Janick Gers","NA"
"The Educated Fool","Virtual XI",1998,"Steve Harris","NA","NA","NA"
"The Evil That Men Do","Seventh Son of a Seventh Son",1988,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"The Fallen Angel","Brave New World",2000,"Steve Harris","Adrian Smith","NA","NA"
"The Fugitive","Fear of the Dark",1992,"Steve Harris","NA","NA","NA"
"The Great Unknown","The Book of Souls",2015,"Adrian Smith","Steve Harris","NA","NA"
"The Ides of March","Killers",1981,"Steve Harris","NA","NA","NA"
"The Legacy","A Matter of Life and Death",2006,"Steve Harris","Janick Gers","NA","NA"
"The Loneliness of the Long Distance Runner","Somewhere in Time",1986,"Steve Harris","NA","NA","NA"
"The Longest Day","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"The Man of Sorrows","The Book of Souls",2015,"Dave Murray","Steve Harris","NA","NA"
"The Man Who Would Be King","The Final Frontier",2010,"Steve Harris","Dave Murray","NA","NA"
"The Mercenary","Brave New World",2000,"Steve Harris","Janick Gers","NA","NA"
"The Nomad","Brave New World",2000,"Steve Harris","Dave Murray","NA","NA"
"The Number of the Beast","The Number of the Beast",1982,"Steve Harris","NA","NA","NA"
"The Pilgrim","A Matter of Life and Death",2006,"Steve Harris","Janick Gers","NA","NA"
"The Prisoner","The Number of the Beast",1982,"Steve Harris","Adrian Smith","NA","NA"
"The Prophecy","Seventh Son of a Seventh Son",1988,"Steve Harris","Dave Murray","NA","NA"
"The Red and the Black","The Book of Souls",2015,"Steve Harris","NA","NA","NA"
"The Reincarnation of Benjamin Breeg","A Matter of Life and Death",2006,"Steve Harris","Dave Murray","NA","NA"
"The Talisman","The Final Frontier",2010,"Steve Harris","Janick Gers","NA","NA"
"The Thin Line Between Love and Hate","Brave New World",2000,"Steve Harris","Dave Murray","NA","NA"
"The Trooper","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"The Unbeliever","The X Factor",1995,"Steve Harris","Janick Gers","NA","NA"
"The Wicker Man","Brave New World",2000,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"These Colours Don't Run","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"To Tame a Land","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"Total Eclipse","""Run to the Hills""",1982,"Steve Harris","Dave Murray","Clive Burr","NA"
"Transylvania","Iron Maiden",1980,"Steve Harris","NA","NA","NA"
"Twilight Zone","Killers",1981,"Steve Harris","Dave Murray","NA","NA"
"Virus","Best of the Beast",1996,"Steve Harris","Blaze Bayley","Dave Murray","Janick Gers"
"Wasted Years","Somewhere in Time",1986,"Adrian Smith","NA","NA","NA"
"Wasting Love","Fear of the Dark",1992,"Bruce Dickinson","Janick Gers","NA","NA"
"Weekend Warrior","Fear of the Dark",1992,"Steve Harris","Janick Gers","NA","NA"
"When the River Runs Deep","The Book of Souls",2015,"Adrian Smith","Steve Harris","NA","NA"
"When the Wild Wind Blows","The Final Frontier",2010,"Steve Harris","NA","NA","NA"
"When Two Worlds Collide","Virtual XI",1998,"Steve Harris","Blaze Bayley","Dave Murray","NA"
"Where Eagles Dare","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"Wildest Dreams","Dance of Death",2003,"Steve Harris","Adrian Smith","NA","NA"
"Women in Uniform""","""Women in Uniform""",1980,"Greg Macainsh","NA","NA","NA"
"Wrathchild","Killers",1981,"Steve Harris","NA","NA","NA"
